tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,1.600000000000001378e-03
4.000000000000000000e+00,1.000000000000000000e+00,8.000000000000894850e-04
5.000000000000000000e+00,1.000000000000000000e+00,8.000000000000894850e-04
6.000000000000000000e+00,1.000000000000000000e+00,5.625000000000035354e-03
7.000000000000000000e+00,1.000000000000000000e+00,4.825000000000123461e-03
8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00,2.400000000000090863e-03
1.200000000000000000e+01,1.000000000000000000e+00,8.000000000000894850e-04
1.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00,4.825000000000123461e-03
1.500000000000000000e+01,1.000000000000000000e+00,4.825000000000123461e-03
1.600000000000000000e+01,1.000000000000000000e+00,6.425000000000125056e-03
1.700000000000000000e+01,1.000000000000000000e+00,7.250000000000156493e-03
1.800000000000000000e+01,1.000000000000000000e+00,8.050000000000067518e-03
1.900000000000000000e+01,1.000000000000000000e+00,8.050000000000067518e-03
2.000000000000000000e+01,1.000000000000000000e+00,8.050000000000067518e-03
2.100000000000000000e+01,1.000000000000000000e+00,8.050000000000067518e-03
2.200000000000000000e+01,1.000000000000000000e+00,9.650000000000069980e-03
2.300000000000000000e+01,1.000000000000000000e+00,1.127500000000001244e-02
2.400000000000000000e+01,1.000000000000000000e+00,1.047500000000010055e-02
2.500000000000000000e+01,1.000000000000000000e+00,1.610000000000013504e-02
2.600000000000000000e+01,1.000000000000000000e+00,1.610000000000013504e-02
2.700000000000000000e+01,1.000000000000000000e+00,1.610000000000013504e-02
2.800000000000000000e+01,1.000000000000000000e+00,1.772500000000008097e-02
2.900000000000000000e+01,1.000000000000000000e+00,2.012499999999999359e-02
3.000000000000000000e+01,1.000000000000000000e+00,2.415000000000002561e-02
3.100000000000000000e+01,1.000000000000000000e+00,2.415000000000002561e-02
3.200000000000000000e+01,1.000000000000000000e+00,2.415000000000002561e-02
3.300000000000000000e+01,1.000000000000000000e+00,2.415000000000002561e-02
3.400000000000000000e+01,1.000000000000000000e+00,2.415000000000002561e-02
3.500000000000000000e+01,1.000000000000000000e+00,3.060000000000009240e-02
3.600000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
3.700000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
3.800000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
3.900000000000000000e+01,1.000000000000000000e+00,3.302500000000012370e-02
4.000000000000000000e+01,1.000000000000000000e+00,3.382500000000003559e-02
4.100000000000000000e+01,1.000000000000000000e+00,4.027500000000010238e-02
4.200000000000000000e+01,1.000000000000000000e+00,4.027500000000010238e-02
4.300000000000000000e+01,1.000000000000000000e+00,4.270000000000014062e-02
4.400000000000000000e+01,1.000000000000000000e+00,4.752500000000008107e-02
4.500000000000000000e+01,1.000000000000000000e+00,4.832499999999999296e-02
4.600000000000000000e+01,1.000000000000000000e+00,4.832499999999999296e-02
4.700000000000000000e+01,1.000000000000000000e+00,4.832499999999999296e-02
4.800000000000000000e+01,1.000000000000000000e+00,5.235000000000002846e-02
4.900000000000000000e+01,1.000000000000000000e+00,5.637500000000006395e-02
5.000000000000000000e+01,1.000000000000000000e+00,5.637500000000006395e-02
5.100000000000000000e+01,1.000000000000000000e+00,5.637500000000006395e-02
5.200000000000000000e+01,1.000000000000000000e+00,5.637500000000006395e-02
5.300000000000000000e+01,1.000000000000000000e+00,6.122500000000012654e-02
5.400000000000000000e+01,1.000000000000000000e+00,6.445000000000007667e-02
5.500000000000000000e+01,1.000000000000000000e+00,6.445000000000007667e-02
5.600000000000000000e+01,1.000000000000000000e+00,6.445000000000007667e-02
5.700000000000000000e+01,1.000000000000000000e+00,6.445000000000007667e-02
5.800000000000000000e+01,1.000000000000000000e+00,6.445000000000007667e-02
5.900000000000000000e+01,1.000000000000000000e+00,6.525000000000016898e-02
6.000000000000000000e+01,1.000000000000000000e+00,6.525000000000016898e-02
6.100000000000000000e+01,1.000000000000000000e+00,6.605000000000008087e-02
6.200000000000000000e+01,1.000000000000000000e+00,7.170000000000005536e-02
6.300000000000000000e+01,1.000000000000000000e+00,7.250000000000014766e-02
6.400000000000000000e+01,1.000000000000000000e+00,7.250000000000014766e-02
6.500000000000000000e+01,1.000000000000000000e+00,8.055000000000003824e-02
6.600000000000000000e+01,1.000000000000000000e+00,8.055000000000003824e-02
6.700000000000000000e+01,1.000000000000000000e+00,8.055000000000003824e-02
6.800000000000000000e+01,1.000000000000000000e+00,8.297500000000006259e-02
6.900000000000000000e+01,1.000000000000000000e+00,8.700000000000010503e-02
7.000000000000000000e+01,1.000000000000000000e+00,8.700000000000010503e-02
7.100000000000000000e+01,1.000000000000000000e+00,8.860000000000009535e-02
7.200000000000000000e+01,1.000000000000000000e+00,8.860000000000009535e-02
7.300000000000000000e+01,1.000000000000000000e+00,8.860000000000009535e-02
7.400000000000000000e+01,1.000000000000000000e+00,9.102500000000013358e-02
7.500000000000000000e+01,1.000000000000000000e+00,9.667500000000010807e-02
7.600000000000000000e+01,1.000000000000000000e+00,9.667500000000010807e-02
7.700000000000000000e+01,1.000000000000000000e+00,9.667500000000010807e-02
7.800000000000000000e+01,1.000000000000000000e+00,9.907500000000002416e-02
7.900000000000000000e+01,1.000000000000000000e+00,9.747500000000001996e-02
8.000000000000000000e+01,1.000000000000000000e+00,1.023000000000001408e-01
8.100000000000000000e+01,1.000000000000000000e+00,1.047249999999999986e-01
8.200000000000000000e+01,1.000000000000000000e+00,1.047249999999999986e-01
8.300000000000000000e+01,1.000000000000000000e+00,1.047249999999999986e-01
8.400000000000000000e+01,1.000000000000000000e+00,1.047249999999999986e-01
8.500000000000000000e+01,1.000000000000000000e+00,1.063250000000000028e-01
8.600000000000000000e+01,1.000000000000000000e+00,1.127750000000000696e-01
8.700000000000000000e+01,1.000000000000000000e+00,1.127750000000000696e-01
8.800000000000000000e+01,1.000000000000000000e+00,1.127750000000000696e-01
8.900000000000000000e+01,1.000000000000000000e+00,1.144000000000000156e-01
9.000000000000000000e+01,1.000000000000000000e+00,1.192250000000001364e-01
9.100000000000000000e+01,1.000000000000000000e+00,1.208500000000000824e-01
9.200000000000000000e+01,1.000000000000000000e+00,1.208500000000000824e-01
9.300000000000000000e+01,1.000000000000000000e+00,1.208500000000000824e-01
9.400000000000000000e+01,1.000000000000000000e+00,1.264750000000001151e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.264750000000001151e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.281000000000000472e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.289000000000001533e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.289000000000001533e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.289000000000001533e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.329250000000000154e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.369500000000000439e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.369500000000000439e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.369500000000000439e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.417750000000001509e-01
