t,MV,PV,DV
0.000000000000000000e+00,3.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01
1.000000000000000000e+00,3.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+01,1.989900000000000091e+01,5.000000000000000000e+01
4.000000000000000000e+00,3.000000000000000000e+01,1.989900000000000091e+01,5.000000000000000000e+01
5.000000000000000000e+00,3.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01
6.000000000000000000e+00,3.000000000000000000e+01,1.986700000000000088e+01,5.000000000000000000e+01
7.000000000000000000e+00,3.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01
8.000000000000000000e+00,3.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01
9.000000000000000000e+00,3.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01
1.000000000000000000e+01,3.000000000000000000e+01,1.989900000000000091e+01,5.000000000000000000e+01
1.100000000000000000e+01,3.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01
1.200000000000000000e+01,3.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01
1.300000000000000000e+01,3.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01
1.400000000000000000e+01,3.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01
1.500000000000000000e+01,3.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01
1.600000000000000000e+01,3.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01
1.700000000000000000e+01,3.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01
1.800000000000000000e+01,3.000000000000000000e+01,1.993199999999999861e+01,5.000000000000000000e+01
1.900000000000000000e+01,3.000000000000000000e+01,1.996399999999999864e+01,5.000000000000000000e+01
2.000000000000000000e+01,3.000000000000000000e+01,1.999599999999999866e+01,5.000000000000000000e+01
2.100000000000000000e+01,3.000000000000000000e+01,2.015700000000000003e+01,5.000000000000000000e+01
2.200000000000000000e+01,3.000000000000000000e+01,2.025400000000000134e+01,5.000000000000000000e+01
2.300000000000000000e+01,3.000000000000000000e+01,2.022200000000000131e+01,5.000000000000000000e+01
2.400000000000000000e+01,3.000000000000000000e+01,2.025400000000000134e+01,5.000000000000000000e+01
2.500000000000000000e+01,3.000000000000000000e+01,2.025400000000000134e+01,5.000000000000000000e+01
2.600000000000000000e+01,3.000000000000000000e+01,2.028600000000000136e+01,5.000000000000000000e+01
2.700000000000000000e+01,3.000000000000000000e+01,2.041499999999999915e+01,5.000000000000000000e+01
2.800000000000000000e+01,3.000000000000000000e+01,2.051200000000000045e+01,5.000000000000000000e+01
2.900000000000000000e+01,3.000000000000000000e+01,2.057600000000000051e+01,5.000000000000000000e+01
3.000000000000000000e+01,3.000000000000000000e+01,2.057600000000000051e+01,5.000000000000000000e+01
3.100000000000000000e+01,3.000000000000000000e+01,2.057600000000000051e+01,5.000000000000000000e+01
3.200000000000000000e+01,3.000000000000000000e+01,2.064099999999999824e+01,5.000000000000000000e+01
3.300000000000000000e+01,3.000000000000000000e+01,2.083399999999999963e+01,5.000000000000000000e+01
3.400000000000000000e+01,3.000000000000000000e+01,2.089799999999999969e+01,5.000000000000000000e+01
3.500000000000000000e+01,3.000000000000000000e+01,2.089799999999999969e+01,5.000000000000000000e+01
