tm,DVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000894850e-04
2.000000000000000000e+00,1.000000000000000000e+00,7.249999999999978684e-03
3.000000000000000000e+00,1.000000000000000000e+00,7.249999999999978684e-03
4.000000000000000000e+00,1.000000000000000000e+00,7.249999999999978684e-03
5.000000000000000000e+00,1.000000000000000000e+00,6.450000000000066791e-03
6.000000000000000000e+00,1.000000000000000000e+00,7.249999999999978684e-03
7.000000000000000000e+00,1.000000000000000000e+00,7.249999999999978684e-03
8.000000000000000000e+00,1.000000000000000000e+00,8.875000000000099823e-03
9.000000000000000000e+00,1.000000000000000000e+00,9.675000000000011716e-03
1.000000000000000000e+01,1.000000000000000000e+00,1.207500000000010301e-02
1.100000000000000000e+01,1.000000000000000000e+00,1.530000000000004620e-02
1.200000000000000000e+01,1.000000000000000000e+00,1.289999999999995664e-02
1.300000000000000000e+01,1.000000000000000000e+00,1.530000000000004620e-02
1.400000000000000000e+01,1.000000000000000000e+00,1.449999999999995737e-02
1.500000000000000000e+01,1.000000000000000000e+00,1.530000000000004620e-02
1.600000000000000000e+01,1.000000000000000000e+00,1.530000000000004620e-02
1.700000000000000000e+01,1.000000000000000000e+00,1.530000000000004620e-02
1.800000000000000000e+01,1.000000000000000000e+00,1.530000000000004620e-02
1.900000000000000000e+01,1.000000000000000000e+00,1.530000000000004620e-02
2.000000000000000000e+01,1.000000000000000000e+00,1.530000000000004620e-02
2.100000000000000000e+01,1.000000000000000000e+00,1.932500000000008170e-02
2.200000000000000000e+01,1.000000000000000000e+00,2.255000000000002489e-02
2.300000000000000000e+01,1.000000000000000000e+00,2.337500000000005546e-02
2.400000000000000000e+01,1.000000000000000000e+00,2.337500000000005546e-02
2.500000000000000000e+01,1.000000000000000000e+00,2.497500000000005965e-02
2.600000000000000000e+01,1.000000000000000000e+00,2.497500000000005965e-02
2.700000000000000000e+01,1.000000000000000000e+00,2.980000000000000357e-02
2.800000000000000000e+01,1.000000000000000000e+00,3.142500000000012644e-02
2.900000000000000000e+01,1.000000000000000000e+00,3.142500000000012644e-02
3.000000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02
3.100000000000000000e+01,1.000000000000000000e+00,3.947500000000001702e-02
3.200000000000000000e+01,1.000000000000000000e+00,3.947500000000001702e-02
3.300000000000000000e+01,1.000000000000000000e+00,3.947500000000001702e-02
3.400000000000000000e+01,1.000000000000000000e+00,3.947500000000001702e-02
3.500000000000000000e+01,1.000000000000000000e+00,4.190000000000004832e-02
3.600000000000000000e+01,1.000000000000000000e+00,4.752500000000008107e-02
3.700000000000000000e+01,1.000000000000000000e+00,4.752500000000008107e-02
3.800000000000000000e+01,1.000000000000000000e+00,4.752500000000008107e-02
3.900000000000000000e+01,1.000000000000000000e+00,4.995000000000011930e-02
4.000000000000000000e+01,1.000000000000000000e+00,5.157500000000005830e-02
4.100000000000000000e+01,1.000000000000000000e+00,5.477500000000005975e-02
4.200000000000000000e+01,1.000000000000000000e+00,5.560000000000009379e-02
4.300000000000000000e+01,1.000000000000000000e+00,6.285000000000007248e-02
4.400000000000000000e+01,1.000000000000000000e+00,6.364999999999998437e-02
4.500000000000000000e+01,1.000000000000000000e+00,6.364999999999998437e-02
4.600000000000000000e+01,1.000000000000000000e+00,6.445000000000007667e-02
4.700000000000000000e+01,1.000000000000000000e+00,6.687500000000010103e-02
4.800000000000000000e+01,1.000000000000000000e+00,7.010000000000005116e-02
4.900000000000000000e+01,1.000000000000000000e+00,7.170000000000005536e-02
5.000000000000000000e+01,1.000000000000000000e+00,7.170000000000005536e-02
5.100000000000000000e+01,1.000000000000000000e+00,7.170000000000005536e-02
5.200000000000000000e+01,1.000000000000000000e+00,7.412500000000007971e-02
5.300000000000000000e+01,1.000000000000000000e+00,7.735000000000002984e-02
5.400000000000000000e+01,1.000000000000000000e+00,7.975000000000012634e-02
5.500000000000000000e+01,1.000000000000000000e+00,8.057499999999997997e-02
5.600000000000000000e+01,1.000000000000000000e+00,8.297500000000006259e-02
5.700000000000000000e+01,1.000000000000000000e+00,8.782499999999995866e-02
5.800000000000000000e+01,1.000000000000000000e+00,8.782499999999995866e-02
5.900000000000000000e+01,1.000000000000000000e+00,8.782499999999995866e-02
6.000000000000000000e+01,1.000000000000000000e+00,9.105000000000007532e-02
6.100000000000000000e+01,1.000000000000000000e+00,9.507500000000010387e-02
6.200000000000000000e+01,1.000000000000000000e+00,9.587500000000001577e-02
6.300000000000000000e+01,1.000000000000000000e+00,9.587500000000001577e-02
6.400000000000000000e+01,1.000000000000000000e+00,9.667500000000010807e-02
6.500000000000000000e+01,1.000000000000000000e+00,9.587500000000001577e-02
6.600000000000000000e+01,1.000000000000000000e+00,1.039250000000000868e-01
6.700000000000000000e+01,1.000000000000000000e+00,1.039250000000000868e-01
6.800000000000000000e+01,1.000000000000000000e+00,1.039250000000000868e-01
6.900000000000000000e+01,1.000000000000000000e+00,1.039250000000000868e-01
7.000000000000000000e+01,1.000000000000000000e+00,1.063500000000001250e-01
7.100000000000000000e+01,1.000000000000000000e+00,1.087749999999999828e-01
7.200000000000000000e+01,1.000000000000000000e+00,1.111750000000000654e-01
7.300000000000000000e+01,1.000000000000000000e+00,1.120000000000000995e-01
7.400000000000000000e+01,1.000000000000000000e+00,1.120000000000000995e-01
7.500000000000000000e+01,1.000000000000000000e+00,1.120000000000000995e-01
7.600000000000000000e+01,1.000000000000000000e+00,1.144000000000000156e-01
7.700000000000000000e+01,1.000000000000000000e+00,1.160249999999999615e-01
7.800000000000000000e+01,1.000000000000000000e+00,1.176249999999999518e-01
7.900000000000000000e+01,1.000000000000000000e+00,1.192500000000000782e-01
8.000000000000000000e+01,1.000000000000000000e+00,1.200499999999999901e-01
8.100000000000000000e+01,1.000000000000000000e+00,1.200499999999999901e-01
8.200000000000000000e+01,1.000000000000000000e+00,1.200499999999999901e-01
8.300000000000000000e+01,1.000000000000000000e+00,1.200499999999999901e-01
8.400000000000000000e+01,1.000000000000000000e+00,1.200499999999999901e-01
8.500000000000000000e+01,1.000000000000000000e+00,1.208500000000000824e-01
8.600000000000000000e+01,1.000000000000000000e+00,1.232750000000001067e-01
8.700000000000000000e+01,1.000000000000000000e+00,1.256750000000000367e-01
8.800000000000000000e+01,1.000000000000000000e+00,1.281000000000000472e-01
8.900000000000000000e+01,1.000000000000000000e+00,1.281000000000000472e-01
9.000000000000000000e+01,1.000000000000000000e+00,1.281000000000000472e-01
9.100000000000000000e+01,1.000000000000000000e+00,1.288999999999999591e-01
9.200000000000000000e+01,1.000000000000000000e+00,1.281000000000000472e-01
9.300000000000000000e+01,1.000000000000000000e+00,1.313249999999999973e-01
9.400000000000000000e+01,1.000000000000000000e+00,1.361500000000001320e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.361500000000001320e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.361500000000001320e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.361500000000001320e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.361500000000001320e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.361500000000001320e-01
