t,DV,PV_Exp,PV_DV_FOPDTOPT,PV_DV_SOPDTOPT
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000895934e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,7.249999999999977816e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,7.249999999999977816e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,7.249999999999977816e-03,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,6.450000000000066791e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00,7.249999999999977816e-03,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00,7.249999999999977816e-03,0.000000000000000000e+00,2.961977185283783402e-04
8.000000000000000000e+00,1.000000000000000000e+00,8.875000000000099823e-03,0.000000000000000000e+00,8.453013132070136184e-04
9.000000000000000000e+00,1.000000000000000000e+00,9.675000000000013450e-03,0.000000000000000000e+00,1.610104431142586048e-03
1.000000000000000000e+01,1.000000000000000000e+00,1.207500000000010475e-02,0.000000000000000000e+00,2.558632130575588456e-03
1.100000000000000000e+01,1.000000000000000000e+00,1.530000000000004620e-02,0.000000000000000000e+00,3.663406661743958369e-03
1.200000000000000000e+01,1.000000000000000000e+00,1.289999999999995664e-02,0.000000000000000000e+00,4.900816286265398218e-03
1.300000000000000000e+01,1.000000000000000000e+00,1.530000000000004620e-02,2.104501369984110998e-03,6.250572674910058642e-03
1.400000000000000000e+01,1.000000000000000000e+00,1.449999999999995563e-02,4.196793019225405000e-03,7.695244452927669718e-03
1.500000000000000000e+01,1.000000000000000000e+00,1.530000000000004620e-02,6.276945785064613932e-03,9.219856206600610116e-03
1.600000000000000000e+01,1.000000000000000000e+00,1.530000000000004620e-02,8.345030093864287679e-03,1.081154376438272710e-02
1.700000000000000000e+01,1.000000000000000000e+00,1.530000000000004620e-02,1.040111596339317324e-02,1.245925785521009334e-02
1.800000000000000000e+01,1.000000000000000000e+00,1.530000000000004620e-02,1.244527300519675771e-02,1.415350935487004469e-02
1.900000000000000000e+01,1.000000000000000000e+00,1.530000000000004620e-02,1.447757042695406449e-02,1.588615028407933116e-02
2.000000000000000000e+01,1.000000000000000000e+00,1.530000000000004620e-02,1.649807703482076421e-02,1.765018554097846915e-02
2.100000000000000000e+01,1.000000000000000000e+00,1.932500000000008170e-02,1.850686123575871408e-02,1.943961105486178079e-02
2.200000000000000000e+01,1.000000000000000000e+00,2.255000000000002489e-02,2.050399103985195079e-02,2.124927465326176962e-02
2.300000000000000000e+01,1.000000000000000000e+00,2.337500000000005199e-02,2.248953406260927740e-02,2.307475645485982177e-02
2.400000000000000000e+01,1.000000000000000000e+00,2.337500000000005199e-02,2.446355752725346347e-02,2.491226604802365685e-02
2.500000000000000000e+01,1.000000000000000000e+00,2.497500000000005618e-02,2.642612826699718490e-02,2.675855409932359485e-02
2.600000000000000000e+01,1.000000000000000000e+00,2.497500000000005618e-02,2.837731272730575904e-02,2.861083636696450105e-02
2.700000000000000000e+01,1.000000000000000000e+00,2.980000000000000357e-02,3.031717696814672722e-02,3.046672837826179536e-02
2.800000000000000000e+01,1.000000000000000000e+00,3.142500000000012644e-02,3.224578666622641976e-02,3.232418927459874275e-02
2.900000000000000000e+01,1.000000000000000000e+00,3.142500000000012644e-02,3.416320711721353154e-02,3.418147353732552129e-02
3.000000000000000000e+01,1.000000000000000000e+00,3.222500000000003834e-02,3.606950323794975988e-02,3.603708948860985528e-02
