t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,3.826899999999999835e+01,3.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,3.826899999999999835e+01,3.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,3.830100000000000193e+01,3.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,3.830100000000000193e+01,3.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,3.830100000000000193e+01,3.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,3.833299999999999841e+01,3.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,3.836500000000000199e+01,7.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,3.862299999999999756e+01,7.000000000000000000e+01
8.000000000000000000e+00,5.000000000000000000e+01,3.862299999999999756e+01,7.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000000e+01,3.862299999999999756e+01,7.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,3.859100000000000108e+01,7.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,3.862299999999999756e+01,7.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,3.862299999999999756e+01,7.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,3.868800000000000239e+01,7.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,3.871999999999999886e+01,7.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,3.881600000000000250e+01,7.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,3.894500000000000028e+01,7.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,3.884899999999999665e+01,7.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,3.894500000000000028e+01,7.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,3.891299999999999670e+01,7.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,3.894500000000000028e+01,7.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,3.894500000000000028e+01,7.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,3.894500000000000028e+01,7.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,3.894500000000000028e+01,7.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,3.894500000000000028e+01,7.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,3.894500000000000028e+01,7.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,3.910600000000000165e+01,7.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,3.923499999999999943e+01,7.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,3.926800000000000068e+01,7.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,3.926800000000000068e+01,7.000000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+01,3.933200000000000074e+01,7.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,3.933200000000000074e+01,7.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,3.952499999999999858e+01,7.000000000000000000e+01
3.300000000000000000e+01,5.000000000000000000e+01,3.959000000000000341e+01,7.000000000000000000e+01
3.400000000000000000e+01,5.000000000000000000e+01,3.959000000000000341e+01,7.000000000000000000e+01
3.500000000000000000e+01,5.000000000000000000e+01,3.962199999999999989e+01,7.000000000000000000e+01
3.600000000000000000e+01,5.000000000000000000e+01,3.991199999999999903e+01,7.000000000000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,3.991199999999999903e+01,7.000000000000000000e+01
3.800000000000000000e+01,5.000000000000000000e+01,3.991199999999999903e+01,7.000000000000000000e+01
3.900000000000000000e+01,5.000000000000000000e+01,3.991199999999999903e+01,7.000000000000000000e+01
4.000000000000000000e+01,5.000000000000000000e+01,4.000900000000000034e+01,7.000000000000000000e+01
4.100000000000000000e+01,5.000000000000000000e+01,4.023400000000000176e+01,7.000000000000000000e+01
4.200000000000000000e+01,5.000000000000000000e+01,4.023400000000000176e+01,7.000000000000000000e+01
4.300000000000000000e+01,5.000000000000000000e+01,4.023400000000000176e+01,7.000000000000000000e+01
4.400000000000000000e+01,5.000000000000000000e+01,4.033100000000000307e+01,7.000000000000000000e+01
4.500000000000000000e+01,5.000000000000000000e+01,4.039600000000000080e+01,7.000000000000000000e+01
4.600000000000000000e+01,5.000000000000000000e+01,4.052400000000000091e+01,7.000000000000000000e+01
4.700000000000000000e+01,5.000000000000000000e+01,4.055700000000000216e+01,7.000000000000000000e+01
4.800000000000000000e+01,5.000000000000000000e+01,4.084700000000000131e+01,7.000000000000000000e+01
4.900000000000000000e+01,5.000000000000000000e+01,4.087899999999999778e+01,7.000000000000000000e+01
5.000000000000000000e+01,5.000000000000000000e+01,4.087899999999999778e+01,7.000000000000000000e+01
5.100000000000000000e+01,5.000000000000000000e+01,4.091100000000000136e+01,7.000000000000000000e+01
5.200000000000000000e+01,5.000000000000000000e+01,4.100800000000000267e+01,7.000000000000000000e+01
5.300000000000000000e+01,5.000000000000000000e+01,4.113700000000000045e+01,7.000000000000000000e+01
5.400000000000000000e+01,5.000000000000000000e+01,4.120100000000000051e+01,7.000000000000000000e+01
5.500000000000000000e+01,5.000000000000000000e+01,4.120100000000000051e+01,7.000000000000000000e+01
5.600000000000000000e+01,5.000000000000000000e+01,4.120100000000000051e+01,7.000000000000000000e+01
5.700000000000000000e+01,5.000000000000000000e+01,4.129800000000000182e+01,7.000000000000000000e+01
5.800000000000000000e+01,5.000000000000000000e+01,4.142699999999999960e+01,7.000000000000000000e+01
5.900000000000000000e+01,5.000000000000000000e+01,4.152300000000000324e+01,7.000000000000000000e+01
6.000000000000000000e+01,5.000000000000000000e+01,4.155599999999999739e+01,7.000000000000000000e+01
6.100000000000000000e+01,5.000000000000000000e+01,4.165200000000000102e+01,7.000000000000000000e+01
6.200000000000000000e+01,5.000000000000000000e+01,4.184599999999999653e+01,7.000000000000000000e+01
6.300000000000000000e+01,5.000000000000000000e+01,4.184599999999999653e+01,7.000000000000000000e+01
6.400000000000000000e+01,5.000000000000000000e+01,4.184599999999999653e+01,7.000000000000000000e+01
6.500000000000000000e+01,5.000000000000000000e+01,4.197500000000000142e+01,7.000000000000000000e+01
6.600000000000000000e+01,5.000000000000000000e+01,4.213600000000000279e+01,7.000000000000000000e+01
6.700000000000000000e+01,5.000000000000000000e+01,4.216799999999999926e+01,7.000000000000000000e+01
6.800000000000000000e+01,5.000000000000000000e+01,4.216799999999999926e+01,7.000000000000000000e+01
