omega,gain_DV_FOPDTOPT,gain_DV_SOPDTOPT,phase_DV_FOPDTOPT,phase_DV_SOPDTOPT
1.000000000000000048e-04,-8.809421235288638741e+00,-8.813781951810469195e+00,-1.047615678225781721e+00,-1.044605041622963526e+00
1.001152070811580882e-04,-8.809424174622376924e+00,-8.813784874847087281e+00,-1.048822383923818435e+00,-1.045808281109940507e+00
1.002305468890317625e-04,-8.809427120730660477e+00,-8.813787804620712762e+00,-1.050030479065163114e+00,-1.047012906054706649e+00
1.003460195765313998e-04,-8.809430073629096469e+00,-8.813790741146851460e+00,-1.051239965247897645e+00,-1.048218918050778159e+00
1.004616252967439481e-04,-8.809433033333338159e+00,-8.813793684441078469e+00,-1.052450844071940006e+00,-1.049426318693504223e+00
1.005773642029322943e-04,-8.809435999859056565e+00,-8.813796634518983097e+00,-1.053663117139037819e+00,-1.050635109580057236e+00
1.006932364485363347e-04,-8.809438973221975999e+00,-8.813799591396193733e+00,-1.054876786052778792e+00,-1.051845292309444568e+00
1.008092421871722977e-04,-8.809441953437850970e+00,-8.813802555088376067e+00,-1.056091852418584720e+00,-1.053056868482503239e+00
1.009253815726337194e-04,-8.809444940522466183e+00,-8.813805525611233094e+00,-1.057308317843721257e+00,-1.054269839701907241e+00
1.010416547588913216e-04,-8.809447934491650756e+00,-8.813808502980510440e+00,-1.058526183937296361e+00,-1.055484207572169764e+00
1.011580619000928627e-04,-8.809450935361267554e+00,-8.813811487211969720e+00,-1.059745452310257852e+00,-1.056699973699638084e+00
1.012746031505641544e-04,-8.809453943147214972e+00,-8.813814478321436496e+00,-1.060966124575406289e+00,-1.057917139692505337e+00
1.013912786648083565e-04,-8.809456957865428706e+00,-8.813817476324750544e+00,-1.062188202347385424e+00,-1.059135707160805184e+00
1.015080885975070345e-04,-8.809459979531885310e+00,-8.813820481237788940e+00,-1.063411687242694192e+00,-1.060355677716419587e+00
1.016250331035195901e-04,-8.809463008162586206e+00,-8.813823493076487381e+00,-1.064636580879680938e+00,-1.061577052973074808e+00
1.017421123378841962e-04,-8.809466043773582555e+00,-8.813826511856795776e+00,-1.065862884878551853e+00,-1.062799834546350075e+00
1.018593264558172553e-04,-8.809469086380953939e+00,-8.813829537594701335e+00,-1.067090600861366312e+00,-1.064024024053672912e+00
1.019766756127142798e-04,-8.809472136000822573e+00,-8.813832570306246339e+00,-1.068319730452046201e+00,-1.065249623114328692e+00
1.020941599641498384e-04,-8.809475192649351527e+00,-8.813835610007494381e+00,-1.069550275276375251e+00,-1.066476633349456637e+00
1.022117796658774064e-04,-8.809478256342725189e+00,-8.813838656714549913e+00,-1.070782236961996370e+00,-1.067705056382052486e+00
1.023295348738303013e-04,-8.809481327097183012e+00,-8.813841710443551136e+00,-1.072015617138422527e+00,-1.068934893836976263e+00
1.024474257441210863e-04,-8.809484404928989321e+00,-8.813844771210682438e+00,-1.073250417437030091e+00,-1.070166147340945617e+00
1.025654524330425868e-04,-8.809487489854452846e+00,-8.813847839032158404e+00,-1.074486639491069484e+00,-1.071398818522546925e+00
1.026836150970672804e-04,-8.809490581889919625e+00,-8.813850913924234476e+00,-1.075724284935658526e+00,-1.072632909012229518e+00
1.028019138928482052e-04,-8.809493681051762337e+00,-8.813853995903194516e+00,-1.076963355407791978e+00,-1.073868420442313454e+00
1.029203489772189187e-04,-8.809496787356412284e+00,-8.813857084985375678e+00,-1.078203852546341324e+00,-1.075105354446990846e+00
1.030389205071932814e-04,-8.809499900820318530e+00,-8.813860181187138210e+00,-1.079445777992052324e+00,-1.076343712662322538e+00
1.031576286399665273e-04,-8.809503021459983430e+00,-8.813863284524890318e+00,-1.080689133387555678e+00,-1.077583496726249868e+00
1.032764735329145183e-04,-8.809506149291934207e+00,-8.813866395015070410e+00,-1.081933920377360581e+00,-1.078824708278584676e+00
1.033954553435948966e-04,-8.809509284332740719e+00,-8.813869512674159523e+00,-1.083180140607864272e+00,-1.080067348961025298e+00
1.035145742297463660e-04,-8.809512426599017232e+00,-8.813872637518677777e+00,-1.084427795727346933e+00,-1.081311420417145008e+00
1.036338303492896813e-04,-8.809515576107408208e+00,-8.813875769565168383e+00,-1.085676887385981226e+00,-1.082556924292404910e+00
1.037532238603275267e-04,-8.809518732874604297e+00,-8.813878908830243830e+00,-1.086927417235829862e+00,-1.083803862234151261e+00
1.038727549211444204e-04,-8.809521896917324568e+00,-8.813882055330521936e+00,-1.088179386930846704e+00,-1.085052235891615702e+00
1.039924236902076637e-04,-8.809525068252334279e+00,-8.813885209082677363e+00,-1.089432798126883872e+00,-1.086302046915923469e+00
1.041122303261667037e-04,-8.809528246896435988e+00,-8.813888370103418524e+00,-1.090687652481687531e+00,-1.087553296960087845e+00
