omega,gain_FOPDTOPT,gain_SOPDTOPT,gain_SOPDTVDG,gain_FOPDTStrejc,gain_FOPDTBR,gain_FOPDTBR2,phase_FOPDTOPT,phase_SOPDTOPT,phase_SOPDTVDG,phase_FOPDTStrejc,phase_FOPDTBR,phase_FOPDTBR2
1.000000000000000048e-04,-9.916542055328495309e+00,-9.886667186009963970e+00,-1.105757460574609397e+01,-1.105717467931051701e+01,-1.105807958452542294e+01,-1.105731360769388871e+01,-9.727225533355888798e-01,-9.659536603725187298e-01,-5.597709594253287291e-01,-7.240072709755753788e-01,-1.077068485378739782e+00,-7.923788374262744627e-01
1.001152070811580882e-04,-9.916544276033857130e+00,-9.886669446973604281e+00,-1.105757630070739594e+01,-1.105717545233346755e+01,-1.105808244338499335e+01,-1.105731470096703362e+01,-9.738430529805249813e-01,-9.670663598964490681e-01,-5.604157982070480104e-01,-7.248413574740468768e-01,-1.078309131840702539e+00,-7.932916636583705605e-01
1.002305468890317625e-04,-9.916546501857848028e+00,-9.886671713148665219e+00,-1.105757799957594756e+01,-1.105717622713853920e+01,-1.105808530883368590e+01,-1.105731579676040965e+01,-9.749648430166254487e-01,-9.681803408187592552e-01,-5.610613796914927232e-01,-7.256764048260622157e-01,-1.079551206879421077e+00,-7.942055413568990252e-01
1.003460195765313998e-04,-9.916548732812257683e+00,-9.886673984547160288e+00,-1.105757970236074073e+01,-1.105717700372982648e+01,-1.105808818088668488e+01,-1.105731689507982551e+01,-9.760879249287676140e-01,-9.692956046139434845e-01,-5.617077047336253015e-01,-7.265124141383375589e-01,-1.080794712138168023e+00,-7.951204717326200155e-01
1.004616252967439481e-04,-9.916550968908916630e+00,-9.886676261181129632e+00,-1.105758140907082065e+01,-1.105717778211144697e+01,-1.105809105955920479e+01,-1.105731799593110409e+01,-9.772123002035376649e-01,-9.704121527581935913e-01,-5.623547741893937246e-01,-7.273493865188674912e-01,-1.082039649262108272e+00,-7.960364559976896848e-01
1.005773642029322943e-04,-9.916553210159673171e+00,-9.886678543062629387e+00,-1.105758311971521302e+01,-1.105717856228753071e+01,-1.105809394486650099e+01,-1.105731909932008250e+01,-9.783379703292240936e-01,-9.715299867293905045e-01,-5.630025889157268537e-01,-7.281873230769174699e-01,-1.083286019898285879e+00,-7.969534953656551846e-01
1.006932364485363347e-04,-9.916555456576404026e+00,-9.886680830203758319e+00,-1.105758483430300210e+01,-1.105717934426222016e+01,-1.105809683682385902e+01,-1.105732020525260495e+01,-9.794649367958280228e-01,-9.726491080071169026e-01,-5.636511497705408713e-01,-7.290262249230347047e-01,-1.084533825695640052e+00,-7.978715910514634357e-01
1.008092421871722977e-04,-9.916557708171010788e+00,-9.886683122616631181e+00,-1.105758655284327752e+01,-1.105718012803965422e+01,-1.105809973544659996e+01,-1.105732131373454052e+01,-9.805932010950576538e-01,-9.737695180726494426e-01,-5.643004576127360616e-01,-7.298660931690411635e-01,-1.085783068304994048e+00,-7.987907442714548001e-01
1.009253815726337194e-04,-9.916559964955423467e+00,-9.886685420313408912e+00,-1.105758827534514310e+01,-1.105718091362398958e+01,-1.105810264075008931e+01,-1.105732242477176186e+01,-9.817227647203350394e-01,-9.748912184089680855e-01,-5.649505133022008074e-01,-7.307069289280405666e-01,-1.087033749379069603e+00,-7.997109562433719621e-01
1.010416547588913216e-04,-9.916562226941611158e+00,-9.886687723306252451e+00,-1.105759000181772933e+01,-1.105718170101940601e+01,-1.105810555274971207e+01,-1.105732353837016291e+01,-9.828536291667988589e-01,-9.760142105007546531e-01,-5.656013176998127001e-01,-7.315487333144196080e-01,-1.088285870572482494e+00,-8.006322281863585966e-01
1.011580619000928627e-04,-9.916564494141553610e+00,-9.886690031607372475e+00,-1.105759173227019510e+01,-1.105718249023005306e+01,-1.105810847146090303e+01,-1.105732465453564295e+01,-9.839857959312990898e-01,-9.771384958343934946e-01,-5.662528716674357643e-01,-7.323915074438439587e-01,-1.089539433541742541e+00,-8.015545613209572595e-01
1.012746031505641544e-04,-9.916566766567267877e+00,-9.886692345229009860e+00,-1.105759346671170995e+01,-1.105718328126013184e+01,-1.105811139689911826e+01,-1.105732577327411548e+01,-9.851192665124089975e-01,-9.782640758979778139e-01,-5.669051760679277852e-01,-7.332352524332678145e-01,-1.090794439945263372e+00,-8.024779568691192688e-01
