t,Man,MV,MVP,MVI,MVD,MVFF,SP,PV,DV
0.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,0.000000000000000000e+00,5.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.800000000000000000e+01,3.200000000000000000e+01,5.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,6.654530744336568659e+01,-7.354275320229695012e+01,6.199744575893126353e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.200664451827242374e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,6.651767234891246972e+01,-6.925232146195443761e+01,5.773464911304196789e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.201947412280217975e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,6.646431297529937865e+01,-6.520352869639171445e+01,5.373921572109233580e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.203805838942807327e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,6.638701949178502559e+01,-6.138156067074997679e+01,4.999454117896495120e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.206265853873004801e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,6.628470546063174140e+01,-5.776718131396270905e+01,4.648247585333096765e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.209285088767977356e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,6.615913301417569414e+01,-5.434789740549974368e+01,4.318876439132404954e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.212823855031768261e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,6.601195283355433219e+01,-5.111197468336770555e+01,4.010002184981337336e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.216844976083064012e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,6.584471112316340680e+01,-4.804839183053974949e+01,3.720368070737634270e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.221313630145126439e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,6.565885614915217161e+01,-4.514679724058184718e+01,3.448794109142967557e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.226197202862746849e+01,5.000000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01,6.545574436920462347e+01,-4.239746839537772871e+01,3.194172402617310169e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.231465149132016990e+01,5.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01,6.523664617915230224e+01,-3.979127369784812629e+01,2.955462751869582760e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.237088863567110053e+01,5.000000000000000000e+01
1.200000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01,6.500275130036669680e+01,-3.731963661195734261e+01,2.731688531159064581e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.243041559064257484e+01,5.000000000000000000e+01
1.300000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01,6.475517383038268804e+01,-3.497450197114001469e+01,2.521932814075732665e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.249298152956819052e+01,5.000000000000000000e+01
1.400000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01,6.449495697780218961e+01,-3.274830432459759777e+01,2.325334734679540460e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.255835160287014673e+01,5.000000000000000000e+01
1.500000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01,6.422307750121007075e+01,-3.063393819873016000e+01,2.141086069752008925e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.262630593749506147e+01,5.000000000000000000e+01
1.600000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01,6.394044987060229346e+01,-2.862473015832596346e+01,1.968428028772367000e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.269663869889824070e+01,5.000000000000000000e+01
1.700000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01,6.364793016867007935e+01,-2.671441255904703738e+01,1.806648239037695802e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.276915721166723472e+01,5.000000000000000000e+01
1.800000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01,6.334631974819831157e+01,-2.489709888925040104e+01,1.655077914105208947e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.284368113511938958e+01,5.000000000000000000e+01
1.900000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01,6.303636866082271695e+01,-2.316726060530528386e+01,1.513089194448256691e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.292004169043764250e+01,5.000000000000000000e+01
2.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01,6.271877887143526209e+01,-2.151970537031386144e+01,1.380092649887859935e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.299808093612316640e+01,5.000000000000000000e+01
2.100000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01,6.239420727163579272e+01,-1.994955661155475468e+01,1.255534933991896196e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.307765108874512094e+01,5.000000000000000000e+01
2.200000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01,6.206326850478932045e+01,-1.845223431705149864e+01,1.138896581226217997e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.315861388615624605e+01,5.000000000000000000e+01
2.300000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01,6.172653761446443355e+01,-1.702343699645212638e+01,1.029689938198769106e+01,0.000000000000000000e+00,4.800000000000000000e+01,3.324083999052015059e+01,5.000000000000000000e+01
2.400000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01,6.138455252729153955e+01,-1.565912473590067222e+01,9.274572208609132673e+00,0.000000000000000000e+00,4.800000000000000000e+01,3.332420842866198996e+01,5.000000000000000000e+01
2.500000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01,6.103781638059016501e+01,-1.435550328080958948e+01,8.317686900219424473e+00,0.000000000000000000e+00,4.800000000000000000e+01,3.340860606740966432e+01,5.000000000000000000e+01
2.600000000000000000e+01,1.000000000000000000e+00,5.500000000000000711e+01,6.068679970446778782e+01,-1.310900908441694313e+01,7.422209379949156194e+00,0.000000000000000000e+00,4.800000000000000000e+01,3.349392712173867181e+01,5.000000000000000000e+01
2.700000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01,6.033194246748553979e+01,-1.191629526374781634e+01,6.584352796262276541e+00,0.000000000000000000e+00,4.800000000000000000e+01,3.358007269367017500e+01,5.000000000000000000e+01
2.800000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+01,5.997365599441889117e+01,-1.077421840811485509e+01,5.800562413695963926e+00,0.000000000000000000e+00,4.800000000000000000e+01,3.366695034000021280e+01,5.000000000000000000e+01
