t,MV,PV_Exp,PV_FOPDTOPT,PV_SOPDTOPT,PV_FOPDTStrejc,PV_FOPDTBR,PV_FOPDTBR2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,1.600000000000001161e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,8.000000000000895934e-04,0.000000000000000000e+00,0.000000000000000000e+00,7.025125382199281783e-05,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,8.000000000000895934e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.085282384005717783e-04,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00,5.625000000000035354e-03,0.000000000000000000e+00,1.324415795872801755e-04,4.126583082274397113e-04,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00,4.825000000000123461e-03,0.000000000000000000e+00,3.882043598932231453e-04,6.805205785957964878e-04,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.587412788853129062e-04,1.010044830956123661e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.236042880642604543e-03,1.399210439963078896e-03,0.000000000000000000e+00,0.000000000000000000e+00
