t,MV,PV,DV
0.000000000000000000e+00,3.000000000000000000e+01,4.406900000000000261e+01,5.000000000000000000e+01
1.000000000000000000e+00,3.000000000000000000e+01,4.406900000000000261e+01,5.000000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+01,4.406900000000000261e+01,5.000000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+01,4.406900000000000261e+01,5.000000000000000000e+01
4.000000000000000000e+00,3.000000000000000000e+01,4.410199999999999676e+01,5.000000000000000000e+01
5.000000000000000000e+00,3.000000000000000000e+01,4.410199999999999676e+01,5.000000000000000000e+01
6.000000000000000000e+00,7.000000000000000000e+01,4.410199999999999676e+01,5.000000000000000000e+01
7.000000000000000000e+00,7.000000000000000000e+01,4.410199999999999676e+01,5.000000000000000000e+01
8.000000000000000000e+00,7.000000000000000000e+01,4.416599999999999682e+01,5.000000000000000000e+01
9.000000000000000000e+00,7.000000000000000000e+01,4.413400000000000034e+01,5.000000000000000000e+01
1.000000000000000000e+01,7.000000000000000000e+01,4.413400000000000034e+01,5.000000000000000000e+01
1.100000000000000000e+01,7.000000000000000000e+01,4.432699999999999818e+01,5.000000000000000000e+01
1.200000000000000000e+01,7.000000000000000000e+01,4.429500000000000171e+01,5.000000000000000000e+01
1.300000000000000000e+01,7.000000000000000000e+01,4.410199999999999676e+01,5.000000000000000000e+01
1.400000000000000000e+01,7.000000000000000000e+01,4.410199999999999676e+01,5.000000000000000000e+01
1.500000000000000000e+01,7.000000000000000000e+01,4.410199999999999676e+01,5.000000000000000000e+01
1.600000000000000000e+01,7.000000000000000000e+01,4.419800000000000040e+01,5.000000000000000000e+01
1.700000000000000000e+01,7.000000000000000000e+01,4.413400000000000034e+01,5.000000000000000000e+01
1.800000000000000000e+01,7.000000000000000000e+01,4.410199999999999676e+01,5.000000000000000000e+01
1.900000000000000000e+01,7.000000000000000000e+01,4.429500000000000171e+01,5.000000000000000000e+01
2.000000000000000000e+01,7.000000000000000000e+01,4.429500000000000171e+01,5.000000000000000000e+01
2.100000000000000000e+01,7.000000000000000000e+01,4.435900000000000176e+01,5.000000000000000000e+01
2.200000000000000000e+01,7.000000000000000000e+01,4.439200000000000301e+01,5.000000000000000000e+01
2.300000000000000000e+01,7.000000000000000000e+01,4.442399999999999949e+01,5.000000000000000000e+01
2.400000000000000000e+01,7.000000000000000000e+01,4.442399999999999949e+01,5.000000000000000000e+01
2.500000000000000000e+01,7.000000000000000000e+01,4.442399999999999949e+01,5.000000000000000000e+01
2.600000000000000000e+01,7.000000000000000000e+01,4.442399999999999949e+01,5.000000000000000000e+01
2.700000000000000000e+01,7.000000000000000000e+01,4.448799999999999955e+01,5.000000000000000000e+01
2.800000000000000000e+01,7.000000000000000000e+01,4.455299999999999727e+01,5.000000000000000000e+01
2.900000000000000000e+01,7.000000000000000000e+01,4.452100000000000080e+01,5.000000000000000000e+01
3.000000000000000000e+01,7.000000000000000000e+01,4.474600000000000222e+01,5.000000000000000000e+01
3.100000000000000000e+01,7.000000000000000000e+01,4.474600000000000222e+01,5.000000000000000000e+01
3.200000000000000000e+01,7.000000000000000000e+01,4.474600000000000222e+01,5.000000000000000000e+01
3.300000000000000000e+01,7.000000000000000000e+01,4.481099999999999994e+01,5.000000000000000000e+01
3.400000000000000000e+01,7.000000000000000000e+01,4.490699999999999648e+01,5.000000000000000000e+01
3.500000000000000000e+01,7.000000000000000000e+01,4.506799999999999784e+01,5.000000000000000000e+01
3.600000000000000000e+01,7.000000000000000000e+01,4.506799999999999784e+01,5.000000000000000000e+01
3.700000000000000000e+01,7.000000000000000000e+01,4.506799999999999784e+01,5.000000000000000000e+01
